pdt_name,pdt_name_clean,group_id,pdt_name_processed,category
실험용 마스크,실험용 마스크,2349,실험용 마스크,기타
DSCB0855A,dscb0855a,593,dscb0855a,기타
CD/DVD라벨(V3771/무광/20매/프린텍),cd dvd라벨 v3771 무광 20매 프린텍,413,cd dvd라벨 v3771 무광 20매 프린텍,기타
컬러날크립(소/CM-2400/32개입/바이하츠),컬러날크립 소 cm-2400 32개입 바이하츠,1781,컬러날크립 소 cm 2400 32개입 바이하츠,기타
"3M 반면형 방독마스크(산업용,공업용)","3m 반면형 방독마스크 산업용,공업용",2199,3m 반면형 방독마스크 산업용 공업용,기타
"(MOLTOX) TA100 (Ames assay STDisc), 71-100L","moltox ta100 ames assay stdisc , 71-100l",121,moltox ta100 ames assay stdisc 71 100l,기타
제침기,제침기,2074,제침기,기타
OL770-7G-2.0 3mm Glass Fiber Optic,ol770-7g-2.0 3mm glass fiber optic,107,ol770 7g 2 0 3mm glass fiber optic,기타
안전게시판 (포멕스),안전게시판 포멕스,2421,안전게시판 포멕스,게시판
나이트코어(NITECORE) Q6 충전기,나이트코어 nitecore q6 충전기,2303,나이트코어 nitecore q6 충전기,기타
EXPO 보드마카 Bullet팁(녹/1자루/SANFORD),expo 보드마카 bullet팁 녹 1자루 sanford,340,expo 보드마카 bullet팁 녹 1자루 sanford,마카
화이트보드 칠판 무광 자석,화이트보드 칠판 무광 자석,2180,화이트보드 칠판 무광 자석,화이트보드
(SPL) PETRI DISH(90mm*15mm) (Cat. No. 10090) 500EA/BOX,spl petri dish 90mm*15mm cat. no. 10090 500ea box,648,spl petri dish 90mm 15mm cat no 10090 500ea box,기타
"[Agilent] 122-4762 Agilent 122-4762 DB-17MS 60m, 0.25mm, 0.25um","agilent 122-4762 agilent 122-4762 db-17ms 60m, 0.25mm, 0.25um",782,agilent 122 4762 agilent 122 4762 db 17ms 60m 0 25mm 0 25um,기타
콜스탬프불변스탬프패드(적색),콜스탬프불변스탬프패드 적색,2351,콜스탬프불변스탬프패드 적색,기타
BB 크림,bb 크림,1874,bb 크림,기타
절취스프링 B5 좌철 65매/옥스포드),절취스프링 b5 좌철 65매 옥스포드,2086,절취스프링 b5 좌철 65매 옥스포드,기타
[삼전순약공업(주)]에틸 알콜 94.5% (E1093)(K53714139),삼전순약공업 주 에틸 알콜 94.5% e1093 k53714139,1352,삼전순약공업 주 에틸 알콜 94 5 e1093 k53714139,기타
뉴로얄 캐릭터 화투,뉴로얄 캐릭터 화투,2144,뉴로얄 캐릭터 화투,기타
퍼시스 회의 테이블 FRX(독립형),퍼시스 회의 테이블 frx 독립형,377,퍼시스 회의 테이블 frx 독립형,기타
볼텍스 믹서,볼텍스 믹서,2233,볼텍스 믹서,기타
대형염수시험장치의 온습도 항온항습장치,대형염수시험장치의 온습도 항온항습장치,2452,대형염수시험장치의 온습도 항온항습장치,기타
"[Ajilrant] Liquid trap, Mark 7 spray chamber","ajilrant liquid trap, mark 7 spray chamber",320,ajilrant liquid trap mark 7 spray chamber,기타
브레이크 파츠클리너,브레이크 파츠클리너,2372,브레이크 파츠클리너,기타
"봉인스티커 제작 (1팩, 500개)","봉인스티커 제작 1팩, 500개",1777,봉인스티커 제작 1팩 500개,스티커지
중량렉(철재프레임),중량렉 철재프레임,2327,중량렉 철재프레임,기타
그라인더(3),그라인더 3,1902,그라인더 3,기타
[TACTIX]드라이버 세트 (205440),tactix 드라이버 세트 205440,1611,tactix 드라이버 세트 205440,기타
라벨프린터(LW-H200RK/엡손),라벨프린터 lw-h200rk 엡손,999,라벨프린터 lw h200rk 엡손,사무기기
"퍼시스, 헤드레스트형 의자, CH6200AH, 2H4B","퍼시스, 헤드레스트형 의자, ch6200ah, 2h4b",1225,퍼시스 헤드레스트형 의자 ch6200ah 2h4b,기타
크레욜라 일반크레용48색,크레욜라 일반크레용48색,2439,크레욜라 일반크레용48색,기타
"Hanshin® Stainless-steel Tubing Bands, with Adjusting Screw Nut, Φ6~254mm, Grip Good for Heavy-Duty, Rustless, Thickness : 0.6/0.7mm, 스텐 튜빙 크램프(밴드)","hanshin® stainless-steel tubing bands, with adjusting screw nut, φ6~254mm, grip good for heavy-duty, rustless, thickness : 0.6 0.7mm, 스텐 튜빙 크램프 밴드",109,hanshin stainless steel tubing bands with adjusting screw nut 6 254mm grip good for heavy duty rustless thickness 0 6 0 7mm 스텐 튜빙 크램프 밴드,기타
골드다용도테이프(디스펜서/18mmX30m),골드다용도테이프 디스펜서 18mmx30m,1997,골드다용도테이프 디스펜서 18mmx30m,테이프류
청면테이프 25M (20개 묶음),청면테이프 25m 20개 묶음,1822,청면테이프 25m 20개 묶음,테이프류
헤일리 이지 폴딩 테이블 1800mm 브라운,헤일리 이지 폴딩 테이블 1800mm 브라운,1971,헤일리 이지 폴딩 테이블 1800mm 브라운,기타
랜스타 HDMI 듀얼 모니터 KVM 스위치,랜스타 hdmi 듀얼 모니터 kvm 스위치,769,랜스타 hdmi 듀얼 모니터 kvm 스위치,기타
blue cap&septa agilent(100개/case) 캡 Cat. No. 5182-0717,blue cap&septa agilent 100개 case 캡 cat. no. 5182-0717,1504,blue cap septa agilent 100개 case 캡 cat no 5182 0717,기타
ASME B31.4-2022,asme b31.4-2022,585,asme b31 4 2022,기타
[NO.564]CB318WA(HP/잉크/파랑),no.564 cb318wa hp 잉크 파랑,958,no 564 cb318wa hp 잉크 파랑,잉크젯 카트리지
덤젤 중성펜 0.38(블루 /1자루/신지),덤젤 중성펜 0.38 블루 1자루 신지,2259,덤젤 중성펜 0 38 블루 1자루 신지,젤펜/중성펜
가스크로마토그래피,가스크로마토그래피,2293,가스크로마토그래피,기타
연강봉 (CR-13),연강봉 cr-13,1218,연강봉 cr 13,기타
(Tarsons) 1000㎕ 피펫팁 (1ml),tarsons 1000㎕ 피펫팁 1ml,1328,tarsons 1000 피펫팁 1ml,기타
"프릭션 포인트 노크 0.4, 블랙 (지워지는 볼펜_LFPK-2534_.04)","프릭션 포인트 노크 0.4, 블랙 지워지는 볼펜_lfpk-2534_.04",2378,프릭션 포인트 노크 0 4 블랙 지워지는 볼펜 lfpk 2534 04,볼펜
"(Thermo Fisher Scientific) SEAL,PISTON,SB,UHMW/TFE,PK","thermo fisher scientific seal,piston,sb,uhmw tfe,pk",301,thermo fisher scientific seal piston sb uhmw tfe pk,기타
시료거치대,시료거치대,1985,시료거치대,기타
어망용 방오도료,어망용 방오도료,2328,어망용 방오도료,기타
F1급 100g 분동 (낱개) / 원형분동 + P.P Case (교정성적서 포함),f1급 100g 분동 낱개 원형분동 + p.p case 교정성적서 포함,421,f1급 100g 분동 낱개 원형분동 p p case 교정성적서 포함,기타
어린이용자전거,어린이용자전거,2375,어린이용자전거,기타
일진 벽걸이 구급함,일진 벽걸이 구급함,2290,일진 벽걸이 구급함,기타
TESTO 탁상용 온습도계 608-H1,testo 탁상용 온습도계 608-h1,1005,testo 탁상용 온습도계 608 h1,기타
[알파] 더블클립 골드 19mm(소),알파 더블클립 골드 19mm 소,2011,알파 더블클립 골드 19mm 소,클립/핀류
옥스포드 포켓 절취 스프링 노트,옥스포드 포켓 절취 스프링 노트,2415,옥스포드 포켓 절취 스프링 노트,노트
"AS ONE, 다이아몬드펜 D포인트펜용 교체심","as one, 다이아몬드펜 d포인트펜용 교체심",2314,as one 다이아몬드펜 d포인트펜용 교체심,기타
립아이스 애플,립아이스 애플,2184,립아이스 애플,기타
전기차 LIB Pack(정상구동제품),전기차 lib pack 정상구동제품,1129,전기차 lib pack 정상구동제품,기타
"중성 인산염 pH 표준용액 KS M 1026, ml","중성 인산염 ph 표준용액 ks m 1026, ml",1629,중성 인산염 ph 표준용액 ks m 1026 ml,기타
"(Falcon) 1회용 피펫(10ml)(FA. 356551), 10ml, 200/box","falcon 1회용 피펫 10ml fa. 356551 , 10ml, 200 box",1484,falcon 1회용 피펫 10ml fa 356551 10ml 200 box,기타
아이린 섬유유연제 핑크로즈,아이린 섬유유연제 핑크로즈,2453,아이린 섬유유연제 핑크로즈,기타
UNICELL(KOREA) LF-101 유량계,unicell korea lf-101 유량계,570,unicell korea lf 101 유량계,기타
"Bottle, HDPE, Square ( VITLAB )","bottle, hdpe, square vitlab",343,bottle hdpe square vitlab,기타
후지필름 파인픽스 XP120 (블루),후지필름 파인픽스 xp120 블루,1130,후지필름 파인픽스 xp120 블루,기타
(COWIE) PTFE  마그네틱 리프리버,cowie ptfe 마그네틱 리프리버,1041,cowie ptfe 마그네틱 리프리버,기타
빅앤트 48리터 폴딩 세트,빅앤트 48리터 폴딩 세트,2208,빅앤트 48리터 폴딩 세트,기타
(Agillent) Seat assembly PEEK 0.17mm G7129-87017,agillent seat assembly peek 0.17mm g7129-87017,582,agillent seat assembly peek 0 17mm g7129 87017,기타
"(안셀) 베임방지장갑(하이플렉스 11-724, Cut Level 3)","안셀 베임방지장갑 하이플렉스 11-724, cut level 3",1566,안셀 베임방지장갑 하이플렉스 11 724 cut level 3,기타
Sipoe 캔들 라이터,sipoe 캔들 라이터,2183,sipoe 캔들 라이터,기타
"(크린가드) A10, SBW 상의, 보호용 방진복, 하늘색, L size (24ea/box)","크린가드 a10, sbw 상의, 보호용 방진복, 하늘색, l size 24ea box",1478,크린가드 a10 sbw 상의 보호용 방진복 하늘색 l size 24ea box,기타
"Wheaton® Multi-function Sample Vials, with Screw Thread, 1.8 ~ 40㎖For Autosamplers / CG, EPA, Organic Analysis & General Purpose다용도 Sample Vials, 캡 별도, 각종 분석 / 환경 및 일반 샘플링용, ASTM/EPA/USP/ISO ","wheaton® multi-function sample vials, with screw thread, 1.8 ~ 40㎖for autosamplers cg, epa, organic analysis & general purpose다용도 sample vials, 캡 별도, 각종 분석 환경 및 일반 샘플링용, astm epa usp iso",1015,wheaton multi function sample vials with screw thread 1 8 40 for autosamplers cg epa organic analysis general purpose다용도 sample vials 캡 별도 각종 분석 환경 일반 샘플링용 astm epa usp iso,기타
KCC 우레탄 페인트  모노탄 상도(3.6L) 회색 -1액형-,kcc 우레탄 페인트 모노탄 상도 3.6l 회색 -1액형-,1392,kcc 우레탄 페인트 모노탄 상도 3 6l 회색 1액형,기타
"PP Film 0.1T10W, 200M ","pp film 0.1t10w, 200m",221,pp film 0 1t10w 200m,기타
[TraceCERT] Extractables and Leachables PE/PP mix for GC,tracecert extractables and leachables pe pp mix for gc,62,tracecert extractables and leachables pe pp mix for gc,기타
건습식 진공청소기,건습식 진공청소기,2457,건습식 진공청소기,기타
누사인 테이프 디스펜서(NS121/화이트),누사인 테이프 디스펜서 ns121 화이트,1120,누사인 테이프 디스펜서 ns121 화이트,테이프류
"“ThermoStableTM WLF” Digital Laboratory Freezer, -35℃~+10℃, 320 Lit, 420Lit, 620 Lit with 3×Shelves, Digital Fuzzy Control System, Fast Freezing Function, CFC-Free Refrigeration, Certi. & Traceability 디지털 저온 냉동고, 디지털 퍼지 컨트롤, 친환경 냉매(134A) 채용, 급속 냉동 기능","“thermostabletm wlf” digital laboratory freezer, -35℃~+10℃, 320 lit, 420lit, 620 lit with 3×shelves, digital fuzzy control system, fast freezing function, cfc-free refrigeration, certi. & traceability 디지털 저온 냉동고, 디지털 퍼지 컨트롤, 친환경 냉매 134a 채용, 급속 냉동 기능",385,thermostabletm wlf digital laboratory freezer 35 10 320 lit 420lit 620 lit with 3 shelves digital fuzzy control system fast freezing function cfc free refrigeration certi traceability 디지털 저온 냉동고 디지털 퍼지 컨트롤 친환경 냉매 134a 채용 급속 냉동 기능,기타
"아카시아 마스타책상/B형 이동서랍/오크샤모, DHF-52 (W404*D500*H675)","아카시아 마스타책상 b형 이동서랍 오크샤모, dhf-52 w404*d500*h675",1044,아카시아 마스타책상 b형 이동서랍 오크샤모 dhf 52 w404 d500 h675,기타
OA팬시페이퍼A4 180g(R05/분홍색/15매/두성),oa팬시페이퍼a4 180g r05 분홍색 15매 두성,1656,oa팬시페이퍼a4 180g r05 분홍색 15매 두성,기타
재활용품(분리수거)(1532/190X60X2 (포멕스)),재활용품 분리수거 1532 190x60x2 포멕스,1518,재활용품 분리수거 1532 190x60x2 포멕스,기타
MARKER THREAD 47 TEX 5000M,marker thread 47 tex 5000m,232,marker thread 47 tex 5000m,기타
플러스 수정테이프(OfficeDEPOT),플러스 수정테이프 officedepot,1704,플러스 수정테이프 officedepot,테이프류
"(FUJIFILM) NEFA R1 (Solvent B), 25㎖ * 4","fujifilm nefa r1 solvent b , 25㎖ * 4",525,fujifilm nefa r1 solvent b 25 4,기타
오일 드레인,오일 드레인,1925,오일 드레인,기타
Window 11 Home (DSP 64bit 한글),window 11 home dsp 64bit 한글,1165,window 11 home dsp 64bit 한글,기타
"DURAN® Glass Buchner Funnel with Perforated Plate, 70~1000㎖ for Mambrane/Filter-paper/Filter-cloth, Borosilicate Glass 3.3, Φ4.8~12cm, 글라스 부후너 깔때기","duran® glass buchner funnel with perforated plate, 70~1000㎖ for mambrane filter-paper filter-cloth, borosilicate glass 3.3, φ4.8~12cm, 글라스 부후너 깔때기",824,duran glass buchner funnel with perforated plate 70 1000 for mambrane filter paper filter cloth borosilicate glass 3 3 4 8 12cm 글라스 부후너 깔때기,기타
(보쉬) 무선 충전 송풍기(GBL 18V-120) 세트,보쉬 무선 충전 송풍기 gbl 18v-120 세트,1047,보쉬 무선 충전 송풍기 gbl 18v 120 세트,기타
ERGO K860,ergo k860,350,ergo k860,기타
무소음테이프,무소음테이프,2327,무소음테이프,테이프류
(Sanplatec) 일회용 비이커(PP),sanplatec 일회용 비이커 pp,1528,sanplatec 일회용 비이커 pp,기타
"Mouse, Rat FSH ELISA Kit (Colorimetric)","mouse, rat fsh elisa kit colorimetric",203,mouse rat fsh elisa kit colorimetric,기타
"SCISSOR (SHARP-BLUNT) - 발사가위 (수술가위), straight 12 cm, S-1101-12, S-50-12-S (독일제)","scissor sharp-blunt - 발사가위 수술가위 , straight 12 cm, s-1101-12, s-50-12-s 독일제",495,scissor sharp blunt 발사가위 수술가위 straight 12 cm s 1101 12 s 50 12 s 독일제,기타
탄산칼슘,탄산칼슘,1780,탄산칼슘,기타
[스테들러] 슬라이딩 리필지우개(흰색),스테들러 슬라이딩 리필지우개 흰색,2393,스테들러 슬라이딩 리필지우개 흰색,기타
"Mitutoyo® Digital Calipers, LCD Display, 0~300mm, 디지털 캘리퍼스","mitutoyo® digital calipers, lcd display, 0~300mm, 디지털 캘리퍼스",1393,mitutoyo digital calipers lcd display 0 300mm 디지털 캘리퍼스,기타
고궁의아침(A4/대례지/08),고궁의아침 a4 대례지 08,2022,고궁의아침 a4 대례지 08,기타
[한국도자기] 프라우나 루미너스 솔라 머그세트 2p 골드,한국도자기 프라우나 루미너스 솔라 머그세트 2p 골드,2233,한국도자기 프라우나 루미너스 솔라 머그세트 2p 골드,기타
Needle,needle,582,needle,기타
"수니 보온 투명 워터팩, 커버포함, PVC","수니 보온 투명 워터팩, 커버포함, pvc",1912,수니 보온 투명 워터팩 커버포함 pvc,기타
ep Dualfilter T.I.P.S. G PCR clean and sterile 2-100μL/ 0030 078 543(구모델 0030077547),ep dualfilter t.i.p.s. g pcr clean and sterile 2-100μl 0030 078 543 구모델 0030077547,418,ep dualfilter t i p s g pcr clean and sterile 2 100 l 0030 078 543 구모델 0030077547,기타
냉장고용 다용도 서랍 15cm 4개 Set,냉장고용 다용도 서랍 15cm 4개 set,1959,냉장고용 다용도 서랍 15cm 4개 set,기타
레이저 레벨기,레이저 레벨기,2147,레이저 레벨기,기타
"컬러 마스킹테이프/파랑/폭12mm, 길이40M","컬러 마스킹테이프 파랑 폭12mm, 길이40m",1808,컬러 마스킹테이프 파랑 폭12mm 길이40m,테이프류
[코텍] 땜납(K-0055) 납땜 실납,코텍 땜납 k-0055 납땜 실납,2149,코텍 땜납 k 0055 납땜 실납,기타
[리바트] 팔레트 카페 수납장,리바트 팔레트 카페 수납장,2362,리바트 팔레트 카페 수납장,기타
3M 스카치 마루보호 패드 원형(베이지/소/SP848-NA),3m 스카치 마루보호 패드 원형 베이지 소 sp848-na,1572,3m 스카치 마루보호 패드 원형 베이지 소 sp848 na,기타
[sigma-aldrich] Hexaethylene Glycol Monododecyl Ether,sigma-aldrich hexaethylene glycol monododecyl ether,624,sigma aldrich hexaethylene glycol monododecyl ether,기타
뉴네퓨어 프리미엄 황사사방역용마스크 KF94,뉴네퓨어 프리미엄 황사사방역용마스크 kf94,1356,뉴네퓨어 프리미엄 황사사방역용마스크 kf94,기타
와이어 스트리퍼 (TS-WS06),와이어 스트리퍼 ts-ws06,1351,와이어 스트리퍼 ts ws06,기타
USB 허브,usb 허브,1276,usb 허브,기타
32A 레버 와이어 컨넥터,32a 레버 와이어 컨넥터,1848,32a 레버 와이어 컨넥터,기타
[도디스] 중하중 바퀴 - 4개/1Set,도디스 중하중 바퀴 - 4개 1set,2165,도디스 중하중 바퀴 4개 1set,기타
"유리시험편, 강화유리(165 mm × 165 mm × 5 (T),  4-R2 모서리 마감 처리)","유리시험편, 강화유리 165 mm × 165 mm × 5 t , 4-r2 모서리 마감 처리",2031,유리시험편 강화유리 165 mm 165 mm 5 t 4 r2 모서리 마감 처리,기타
"Merck® Silica Gel 60, Reliable Silica Gel for Normal-phase Chromatography & Adsorption Process for Purification / Separation, 최상의 실리카겔","merck® silica gel 60, reliable silica gel for normal-phase chromatography & adsorption process for purification separation, 최상의 실리카겔",528,merck silica gel 60 reliable silica gel for normal phase chromatography adsorption process for purification separation 최상의 실리카겔,기타
TLC Spotting Capillary Tube / TLC용 모세관 [Cat. No. C08-132-168] [모델명 : 1182-01],tlc spotting capillary tube tlc용 모세관 cat. no. c08-132-168 모델명 : 1182-01,198,tlc spotting capillary tube tlc용 모세관 cat no c08 132 168 모델명 1182 01,기타
부동액 비중계 배터리 냉각수 굴절식 빙점측정,부동액 비중계 배터리 냉각수 굴절식 빙점측정,2459,부동액 비중계 배터리 냉각수 굴절식 빙점측정,기타
fondu cement,fondu cement,537,fondu cement,기타
