pdt_name,pdt_name_clean,group_id,pdt_name_processed,category
[3M]NBR 폼 코팅 장갑 (Super Grip 200 GRAY) L size (단위 : PK),3m nbr 폼 코팅 장갑 super grip 200 gray l size 단위 : pk,1260,3m nbr 폼 코팅 장갑 super grip 200 gray l size 단위 pk,기타
드라이버,드라이버,2113,드라이버,기타
듀플렉스 청소기 2in1 유선청소기 DP-606VC,듀플렉스 청소기 2in1 유선청소기 dp-606vc,1003,듀플렉스 청소기 2in1 유선청소기 dp 606vc,기타
스위스비기뉴 스케이트보드 일반형,스위스비기뉴 스케이트보드 일반형,2423,스위스비기뉴 스케이트보드 일반형,기타
[JTC]열수축 방수 튜브 세트 (JTC-5919),jtc 열수축 방수 튜브 세트 jtc-5919,1872,jtc 열수축 방수 튜브 세트 jtc 5919,기타
꿀꽈배기(75gX5EA/농심),꿀꽈배기 75gx5ea 농심,1876,꿀꽈배기 75gx5ea 농심,기타
포스트-잇(653-2/노랑 분홍/3M),포스트-잇 653-2 노랑 분홍 3m,2190,포스트 잇 653 2 노랑 분홍 3m,기타
자동스탬프 리필패드(C-0822용),자동스탬프 리필패드 c-0822용,1144,자동스탬프 리필패드 c 0822용,기타
출퇴근기록기(BX-1600/AMANO),출퇴근기록기 bx-1600 amano,1227,출퇴근기록기 bx 1600 amano,기타
[PRESI] (20070) 500 CC DIAMOND SUSPENSION ADS POLYCRYSTALLINE 1 μ,presi 20070 500 cc diamond suspension ads polycrystalline 1 μ,46,presi 20070 500 cc diamond suspension ads polycrystalline 1,기타
요떼아모폴리백편선지D01(21-크라프트U120/두성종이),요떼아모폴리백편선지d01 21-크라프트u120 두성종이,2216,요떼아모폴리백편선지d01 21 크라프트u120 두성종이,기타
[캐논] 배터리,캐논 배터리,2144,캐논 배터리,기타
BABY IN CAR 여(칼라)/150X120 (스티커),baby in car 여 칼라 150x120 스티커,1657,baby in car 여 칼라 150x120 스티커,스티커지
라인테이프(3.0mm/연두색),라인테이프 3.0mm 연두색,2034,라인테이프 3 0mm 연두색,테이프류
(스마토) 플라스틱 체인 (SMC 롤형 / 6 ㎜ × 45 m / 황색 / SMC1) ROLL,스마토 플라스틱 체인 smc 롤형 6 ㎜ × 45 m 황색 smc1 roll,719,스마토 플라스틱 체인 smc 롤형 6 45 m 황색 smc1 roll,기타
[125419]오스람 PL 램프 콤팩트 형광등 36W 주광색,125419 오스람 pl 램프 콤팩트 형광등 36w 주광색,1551,125419 오스람 pl 램프 콤팩트 형광등 36w 주광색,기타
"(주) 신코, Plane Mirror","주 신코, plane mirror",2337,주 신코 plane mirror,기타
안전봉 제작 및 설치,안전봉 제작 및 설치,2365,안전봉 제작 설치,기타
합지D링바인더(3cm/녹색/오피스디포),합지d링바인더 3cm 녹색 오피스디포,1931,합지d링바인더 3cm 녹색 오피스디포,바인더
애플펜슬 (APPLE Pencil 2세대 MU8F2KH/A (정품)),애플펜슬 apple pencil 2세대 mu8f2kh a 정품,232,애플펜슬 apple pencil 2세대 mu8f2kh a 정품,기타
포장비닐랩(대) 셀러케이 파랑 스트레치 필름,포장비닐랩 대 셀러케이 파랑 스트레치 필름,2405,포장비닐랩 대 셀러케이 파랑 스트레치 필름,기타
마그네틱 모듈형 자석보드 오거나이저,마그네틱 모듈형 자석보드 오거나이저,2357,마그네틱 모듈형 자석보드 오거나이저,자석류
웨더스트립 촉진노화용 시편 칼날 1호,웨더스트립 촉진노화용 시편 칼날 1호,2269,웨더스트립 촉진노화용 시편 칼날 1호,기타
오스모코크 식물영양제,오스모코크 식물영양제,2294,오스모코크 식물영양제,기타
우산자동포장기(STC-608),우산자동포장기 stc-608,1267,우산자동포장기 stc 608,기타
"(SIG ALD) Sodium phosphate dibasic dihydrate, 30435-1KG","sig ald sodium phosphate dibasic dihydrate, 30435-1kg",677,sig ald sodium phosphate dibasic dihydrate 30435 1kg,기타
이디야 비니스트 카페라떼(13gx10T),이디야 비니스트 카페라떼 13gx10t,1840,이디야 비니스트 카페라떼 13gx10t,기타
초경량 6인치 안전화 스핀업 터프 (SPINUP TOUGH),초경량 6인치 안전화 스핀업 터프 spinup tough,1474,초경량 6인치 안전화 스핀업 터프 spinup tough,클립/핀류
HB문화사 필기구 펜슬박스 JAVA LINE 문구셋트 가성비 12종 셋트,hb문화사 필기구 펜슬박스 java line 문구셋트 가성비 12종 셋트,1870,hb문화사 필기구 펜슬박스 java line 문구셋트 가성비 12종 셋트,박스류
"Sterikon plus Bioindicator(for checks on autoclaving), sigma-aldrich(merck)","sterikon plus bioindicator for checks on autoclaving , sigma-aldrich merck",625,sterikon plus bioindicator for checks on autoclaving sigma aldrich merck,기타
"장진공구,  2날 복합소재 가공용 볼 엔드밀 2CPB","장진공구, 2날 복합소재 가공용 볼 엔드밀 2cpb",1638,장진공구 2날 복합소재 가공용 볼 엔드밀 2cpb,기타
